,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,7.23,-0.03,-0.0,6.58,-7.68,7.72,5.41,3.44,5.29,4.13,0.41,6.9,-1.59,0.24,-3.68,-0.98,0.32,-1.41
email-Eu,0.0,0.0,1.41,40.41,4.84,38.55,0.83,0.06,2.45,42.35,4.55,41.8,0.39,-0.36,1.25,-0.03,9.5,0.18
contact-primary-school,1.69,-0.53,14.91,125.29,103.65,123.39,0.0,0.0,5.35,153.12,162.02,101.52,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,3.35,-0.02,15.91,97.63,127.81,95.3,0.0,-5.63,14.83,349.76,215.28,349.76,0.0,5.96,0.0,0.0,21.76,0.0
NDC-classes,-0.13,1.53,-8.79,0.86,8.16,0.69,-39.6,10.88,-14.23,0.75,5.77,1.71,-0.64,8.22,1.17,-3.58,1.57,-3.42
NDC-substances,0.71,-0.01,-0.2,7.02,1.13,4.29,23.78,0.93,2.07,19.94,27.9,18.04,66.05,-0.05,7.73,-2.74,-1.24,-1.99
DAWN,0.02,0.01,7.7,42.98,14.24,41.07,0.02,0.0,5.22,52.9,19.96,50.69,0.19,-0.0,-0.46,0.19,3.58,0.71
congress-bills,2.77,-0.57,4.79,90.87,14.64,82.78,4.27,-0.01,13.57,81.35,43.59,77.6,0.0,1.83,0.02,0.12,-0.34,0.02
tags-ask-ubuntu,0.08,-0.1,10.1,49.92,14.86,46.64,0.02,0.02,12.21,59.31,30.82,56.22,0.0,-0.4,-0.29,0.11,0.94,0.17
tags-math-sx,0.14,0.18,10.27,34.16,19.81,32.13,0.04,0.01,9.41,33.73,19.79,31.67,0.0,0.06,1.15,0.12,1.21,0.14
threads-ask-ubuntu,0.01,15.96,2.8,2.65,2.38,1.82,-0.0,-0.61,5.3,3.09,3.24,2.39,-0.0,15.26,-0.05,0.0,-0.06,-0.0
threads-math-sx,0.06,1.68,9.08,8.07,7.28,7.01,0.01,-0.45,15.3,9.37,8.83,8.18,0.0,1.17,0.0,-0.0,-0.25,-0.0
coauth-MAG-History,-48.97,-7.45,-3.05,1.08,1.32,1.05,-40.99,0.06,2.08,1.54,1.99,1.3,0.23,75.06,1.53,-0.22,0.19,-0.07
coauth-MAG-Geology,-38.32,0.22,18.74,4.1,10.22,4.41,-38.8,1.17,142.51,6.46,10.07,6.13,35.27,0.14,4.39,-0.05,0.88,0.55
coauth-DBLP,-26.2,0.39,41.42,4.13,8.43,4.14,-32.83,1.03,47.84,6.17,8.63,5.58,34.32,0.24,4.56,0.12,0.71,0.42
