,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,-5.07,0.14,-2.25,92.31,36.06,85.01,0.07,13.41,8.08,195.35,84.82,185.09,0.0,-0.85,-3.37,-0.43,18.24,0.0
email-Eu,-0.2,-0.12,3.3,97.01,48.09,88.51,-0.6,0.59,6.13,117.55,55.64,108.53,0.27,1.93,1.42,0.54,5.72,0.59
contact-primary-school,0.37,2.95,13.31,176.81,95.16,170.27,0.0,-19.85,0.0,197.38,11.72,60.04,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,2.22,3.23,45.49,153.38,142.08,152.8,0.0,0.0,30.43,2.56,133.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC-classes,-64.65,2.4,1.72,1.66,-0.35,4.89,16.0,-4.23,37.32,12.12,-45.64,10.91,-2.56,3.81,-2.76,6.39,-14.93,0.08
NDC-substances,-0.27,-0.61,-4.05,24.95,-2.81,22.68,-0.14,-0.52,-6.51,10.56,-0.84,8.9,5.17,2.54,5.51,5.71,-0.73,4.39
DAWN,0.05,0.07,9.25,57.9,37.11,55.49,0.02,0.01,8.36,63.99,41.56,61.6,0.03,0.06,-2.1,-0.07,0.65,0.09
congress-bills,3.19,1.21,7.9,121.5,64.54,109.71,2.61,0.14,13.62,117.18,59.28,107.3,0.04,8.93,0.16,0.99,2.71,0.64
tags-ask-ubuntu,0.07,2.87,9.62,65.11,36.44,61.43,0.01,0.52,7.41,76.02,44.94,71.99,-0.0,2.25,-0.05,0.03,0.97,0.0
tags-math-sx,0.08,1.36,9.55,46.53,37.87,43.34,-0.01,0.08,7.86,50.43,42.0,46.61,-0.0,2.62,0.3,0.04,1.56,0.04
threads-ask-ubuntu,-72.76,-0.77,-72.91,1.57,0.18,1.34,-85.56,-3.18,16.01,0.04,-0.01,0.02,98.66,0.28,0.05,0.0,0.0,0.0
threads-math-sx,0.01,-1.11,9.32,0.49,1.49,0.72,0.0,-0.25,13.16,0.19,0.98,0.41,0.0,0.01,0.03,0.07,-0.01,0.01
coauth-MAG-History,-69.3,-8.0,0.27,-0.21,0.01,-0.2,-43.35,-8.45,-0.82,-0.22,-0.02,-0.14,6.28,25.65,-0.33,0.01,0.02,0.06
coauth-MAG-Geology,70.12,2.35,-0.08,0.16,-0.03,-0.02,91.79,0.31,1.16,0.13,-0.12,-0.04,6.5,9.31,3.18,-50.6,0.02,-42.75
coauth-DBLP,30.22,6.33,0.17,-0.13,-0.14,-0.32,45.91,0.77,0.04,-13.19,-40.17,-0.31,11.37,15.67,3.07,4.94,-0.93,-39.9
